TransactionID,CustomerID,Amount,TransactionType,Timestamp,Location,DeviceID,IsInternational,IsFraud
1,101,120.5,POS,00:00.0,Sydney,POS001,0,0
2,102,4000,Online,05:00.0,Melbourne,DEV1001,1,1
3,103,50,ATM,10:00.0,Brisbane,ATM202,0,0
4,104,2500,Online,15:00.0,Perth,DEV3001,1,1
5,101,70,POS,20:00.0,Sydney,POS001,0,0
6,105,5000,Online,25:00.0,Adelaide,DEV9023,1,1
7,106,35,ATM,30:00.0,Hobart,ATM345,0,0
8,107,75,POS,35:00.0,Canberra,POS777,0,0
9,108,12000,Online,40:00.0,Darwin,DEV1288,1,1
10,109,60,POS,45:00.0,Melbourne,POS001,0,0
